#    L    TT             EE             BB             TE          
   357   0.153729E+04   0.151449E+02   0.235021E-01   0.309478E+02
   358   0.152705E+04   0.151892E+02   0.235757E-01   0.294614E+02
   359   0.151711E+04   0.152307E+02   0.236498E-01   0.279620E+02
   360   0.150761E+04   0.152696E+02   0.237243E-01   0.264606E+02
   361   0.149847E+04   0.153052E+02   0.237994E-01   0.249527E+02
   362   0.148976E+04   0.153374E+02   0.238750E-01   0.234412E+02
   363   0.148140E+04   0.153672E+02   0.239511E-01   0.219283E+02
   364   0.147347E+04   0.153922E+02   0.240279E-01   0.204103E+02
   365   0.146588E+04   0.154149E+02   0.241052E-01   0.188930E+02
   366   0.145870E+04   0.154344E+02   0.241831E-01   0.173735E+02
   367   0.145194E+04   0.154494E+02   0.242616E-01   0.158538E+02
   368   0.144544E+04   0.154621E+02   0.243408E-01   0.143354E+02
   369   0.143949E+04   0.154719E+02   0.244206E-01   0.128161E+02
   370   0.143387E+04   0.154779E+02   0.245011E-01   0.113009E+02
   371   0.142856E+04   0.154804E+02   0.245823E-01   0.978622E+01
   372   0.142365E+04   0.154800E+02   0.246642E-01   0.827632E+01
   373   0.141913E+04   0.154761E+02   0.247468E-01   0.676821E+01
   374   0.141499E+04   0.154694E+02   0.248301E-01   0.526556E+01
   375   0.141116E+04   0.154593E+02   0.249142E-01   0.376830E+01
   376   0.140778E+04   0.154466E+02   0.249990E-01   0.227639E+01
   377   0.140477E+04   0.154297E+02   0.250846E-01   0.792747E+00
   378   0.140205E+04   0.154096E+02   0.251709E-01  -0.685666E+00
   379   0.139970E+04   0.153869E+02   0.252580E-01  -0.215444E+01
   380   0.139778E+04   0.153618E+02   0.253460E-01  -0.361587E+01
   381   0.139615E+04   0.153305E+02   0.254347E-01  -0.506703E+01
   382   0.139479E+04   0.152984E+02   0.255243E-01  -0.650724E+01
   383   0.139386E+04   0.152624E+02   0.256146E-01  -0.793803E+01
   384   0.139335E+04   0.152227E+02   0.257058E-01  -0.935576E+01
   385   0.139303E+04   0.151815E+02   0.257979E-01  -0.107620E+02
   386   0.139312E+04   0.151366E+02   0.258908E-01  -0.121545E+02
   387   0.139347E+04   0.150880E+02   0.259845E-01  -0.135333E+02
   388   0.139416E+04   0.150366E+02   0.260791E-01  -0.148971E+02
   389   0.139516E+04   0.149802E+02   0.261746E-01  -0.162459E+02
   390   0.139649E+04   0.149240E+02   0.262710E-01  -0.175775E+02
   391   0.139814E+04   0.148636E+02   0.263682E-01  -0.188935E+02
   392   0.140003E+04   0.148021E+02   0.264663E-01  -0.201909E+02
